Name,Rating,Reviews,Raw Content,Price Category
Kedai Om Ndut,4.6,316.0,"Kedai Om Ndut Kedai Om Ndut 4,6(316) · Rp 25–50 rb Masakan Asia · Jl. Hasanudin Jl. Satria Raya No.224 Buka · Tutup pukul 20.30   ""Enak banget makan disini, harga murah, pelayanan gercep!""    Pesan online",Rp 25–50 rb
Pringsewu Semarang,4.5,2487.0,"Pringsewu Semarang Pringsewu Semarang 4,5(2.487) · Rp 25–75 rb Restoran · Ex. gedung Oei, Jl. Suari No.10 -12 Buka · Tutup pukul 22.00   ""Menu scan QR Code, masakan enak2, harga lumayan.""    Pesan online",Rp 25–75 rb
Gama Ikan Bakar & Seafood,4.5,8010.0,"Gama Ikan Bakar & Seafood Gama Ikan Bakar & Seafood 4,5(8.010) · Rp 50–100 rb Hidangan Laut ·  · Bangkong, Jl. MT. Haryono No.870A Tempat kasual besar dengan teras Buka · Tutup pukul 22.00   ""Menu makanan tetap enak dan suka menu sambal khas GAMA ( kedondong ).""    Pesan online",Rp 50–100 rb
Kitchenette DP Mall Semarang,4.8,1112.0,"Kitchenette DP Mall Semarang Kitchenette DP Mall Semarang 4,8(1.112) · Rp 75–125 rb Restoran · Jl. Pemuda No.150 Ground Floor Buka · Tutup pukul 22.00   ""ambienece nyaman, makanan enak2, great service!""    Pesan online",Rp 75–125 rb
Ayam Goreng & Sop Buntut/ Daging Pak Supar,4.5,12901.0,"Ayam Goreng & Sop Buntut/ Daging Pak Supar Ayam Goreng & Sop Buntut/ Daging Pak Supar 4,5(12.901) · Rp 25–75 rb Ayam ·  · Jl. Moh. Suyudi No.48 Buka · Tutup pukul 22.30   ""Sop buntut enak,daging empuk,kentang dan wortel lembut.""",Rp 25–75 rb
Seoul Palace,4.5,813.0,"Seoul Palace Seoul Palace 4,5(813) · Rp 75–175 rb Korea · Jl. Pandanaran No.109 Buka · Tutup pukul 22.00   ""Favourite menu : Sup Sundubu, Martabak Daging, Kimchi""    Pesan online",Rp 75–175 rb
Kedai Gula Jawa,4.5,5160.0,"Kedai Gula Jawa Kedai Gula Jawa 4,5(5.160) · Rp 50–75 rb Jawa · Jl. Singosari Raya No.49 Resto simpel untuk makanan lokal & Barat Buka · Tutup pukul 22.00   ""Acara buber kntor 2025. Menu beragam, rasa enak, t4 bersih&cozy.""    Pesan online",Rp 50–75 rb
Seseduh Resto & Lounge Semarang,4.8,343.0,"Seseduh Resto & Lounge Semarang Seseduh Resto & Lounge Semarang 4,8(343) · Rp 75–225 rb Restoran · 2C25+R7F, Jl. Rinjani Buka · Tutup pukul 22.00   ""Platingnya makanannya cantik, suasananya cozy, ada private room nya jg.""",Rp 75–225 rb
Restaurant Semarang,4.4,473.0,"Restaurant Semarang Restaurant Semarang 4,4(473) · Rp 50–75 rb Restoran ·  · Jl. Gajahmada No.125 Buka · Tutup pukul 15.00 · Buka kembali pukul 18.00   ""Makanannya enak2, soup kepala ikan kakap, dan soto sapinya makyus.""",Rp 50–75 rb
The Duck King Semarang,4.6,254.0,"The Duck King Semarang The Duck King Semarang 4,6(254) China · Jl. Pandanaran No.48 Buka · Tutup pukul 15.00 · Buka kembali pukul 18.00   ""Makan di The Duck King enak banget, bebeknya empuk dan bumbunya meresap.""",
Ombak Restaurant Semarang,4.7,774.0,"Ombak Restaurant Semarang Ombak Restaurant Semarang 4,7(774) Hidangan Laut · Jl. Letnan Jenderal S. Parman No.33 Buka · Tutup pukul 23.00   ""Service nya memuaskan…..Good food good vibe….sukses selalu.""    Reservasi tempat",
Marquess Restaurant,4.8,243.0,"Marquess Restaurant Marquess Restaurant 4,8(243) · Rp 250.000+ Masakan Asia ·  · Gumaya Tower Hotel, Jl. Gajahmada No.59-61 Buka · Tutup pukul 22.30   ""Mulai dari ikan, kerang2an, cumi, udang, kambing, sapi, ayam, bebek.""",Rp 250.000+
Bakmi Djowo Pak Doel Noemani,4.3,2793.0,"Bakmi Djowo Pak Doel Noemani Bakmi Djowo Pak Doel Noemani 4,3(2.793) · Rp 25–50 rb Mi ·  · Jl. Pemuda No.117 Kedai mi Jawa santai yang ramai Buka · Tutup pukul 00.00   ""Rasa masakan enak, paling enak mie goreng""",Rp 25–50 rb
Steak Hotel by HOLYCOW! TKP Semarang,4.8,7093.0,"Steak Hotel by HOLYCOW! TKP Semarang Steak Hotel by HOLYCOW! TKP Semarang 4,8(7.093) · Rp 25–175 rb Steak · Jl. Pemuda No.150 Restoran yang khusus menyajikan steak Buka · Tutup pukul 22.00   ""Steak & Mocktail nya enak banget 😭👍🏻 Telurnya juga sama enak banget!""    Pesan online",Rp 25–175 rb
Syailendra Semarang,4.6,37.0,"Syailendra Semarang Syailendra Semarang 4,6(37) · Rp 75–225 rb Indonesia · Jl. Gajahmada No.99E Buka · Tutup pukul 21.00   ""Pelayanan bagus, makanan enak, parkir luas""",Rp 75–225 rb
Shaburi & Kintan Buffet Paragon Mall Semarang,4.9,1275.0,"Shaburi & Kintan Buffet Paragon Mall Semarang Shaburi & Kintan Buffet Paragon Mall Semarang 4,9(1.275) · Rp 250.000+ Prasmanan · Paragon Mall, Jl. Pemuda No.118 Lt 2 (L2-8-9 Buka · Tutup pukul 22.00   ""Mantap, menunya enak enak, staff ramah dan helpful""    Reservasi tempat  Pesan online",Rp 250.000+
Nasi Pindang Kudus & Soto Sapi Gajahmada - Semarang,4.4,2798.0,"Nasi Pindang Kudus & Soto Sapi Gajahmada - Semarang Nasi Pindang Kudus & Soto Sapi Gajahmada - Semarang 4,4(2.798) · Rp 25–50 rb Jawa Tengah ·  · Jl. MH Thamrin No.40 Depot simpel dengan menu soto daging Buka · Tutup pukul 22.00   ""Nasi pindang sapi nya enak, daging empuk, kuah nya juga maksimal rasanya.""    Pesan online",Rp 25–50 rb
Kayo Coffee and Eatery,4.8,718.0,"Kayo Coffee and Eatery Kayo Coffee and Eatery 4,8(718) · Rp 50–75 rb Restoran ·  · Jl. Melati Selatan No.8A Buka · Tutup pukul 00.00   ""Pilihan menunya variatif tapi masih affordable!""    Pesan online",Rp 50–75 rb
The Savoury at J.R.Raynaldi Building,4.8,2443.0,"The Savoury at J.R.Raynaldi Building The Savoury at J.R.Raynaldi Building 4,8(2.443) · Rp 50–175 rb BBQ · Jl. Papandayan No.2H Buka · Tutup pukul 15.00 · Buka kembali pukul 17.00   ""Tempatnya nyaman n cozy, menu pilihan makanan banyak, service nya bagus.""    Pesan online",Rp 50–175 rb
Kala Senja,4.5,1025.0,"Kala Senja Kala Senja 4,5(1.025) · Rp 50–75 rb Restoran · Jl. Sumbing No.2A Buka · Tutup pukul 23.00   ""makanan enak, view keren, vibe nyaman.""    Pesan online",Rp 50–75 rb
Chandra Medan,4.4,807.0,"Chandra Medan Chandra Medan 4,4(807) · Rp 25–50 rb China ·  · Jl. Depok No.14B Buka · Tutup pukul 14.30 · Buka kembali pukul 17.00   ""Nasi campurnyq enak, tapi potongan dagingnya kecil2.""",Rp 25–50 rb
Llauk Restaurant Semarang,4.6,507.0,"Llauk Restaurant Semarang Llauk Restaurant Semarang 4,6(507) · Rp 50–75 rb Indonesia · Jl. Singosari Raya No.34 Buka · Tutup pukul 22.00   ""Harganya agak pricey tapi makanan dan minumannya worth the price bgt!""",Rp 50–75 rb
Wingstop Paragon Mall,4.7,731.0,"Wingstop Paragon Mall Wingstop Paragon Mall 4,7(731) · Rp 25–50 rb Sayap Ayam · Mall Paragon City Semarang, Lantai 2, No.12A, Jl. Pemuda No.118 Buka · Tutup pukul 22.00   ""Menunya enak enak, harganya afforfable.""    Pesan online",Rp 25–50 rb
Marugame Udon Paragon Mall Semarang,4.6,1726.0,"Marugame Udon Paragon Mall Semarang Marugame Udon Paragon Mall Semarang 4,6(1.726) · Rp 50–75 rb Jepang ·  · Paragon City Mall, Jl. Pemuda No.118 Lt 2 Unit 18 Buka · Tutup pukul 22.00   ""Kuah curry nya enak banget gurih sedap.""    Pesan online",Rp 50–75 rb
Yakiniku Like DP Mall Semarang,4.9,1569.0,"Yakiniku Like DP Mall Semarang Yakiniku Like DP Mall Semarang 4,9(1.569) · Rp 75–150 rb Jepang · Jl. Pemuda No.150 Ground Floor Buka · Tutup pukul 22.00   ""Dagingnya enak, servicenya bagus, tempatnya comfy.""    Pesan online",Rp 75–150 rb
Ming Yuan,4.7,468.0,"Ming Yuan Ming Yuan 4,7(468) China ·  · 5th Avenue Building, 3rd Floor, No.99e, Jl. Gajahmada Buka · Tutup pukul 21.00   ""nice food, nice vibes and service.""",
REZTORANTE EATERY,4.6,37.0,"REZTORANTE EATERY REZTORANTE EATERY 4,6(37) · Rp 75–100 rb Restoran · REZ Hotel Semarang, Jl. Kh Ahmad Dahlan No.41 fl. M Buka 24 jam   ""Ayam bakar cukup enak meskipun agak kering.""    Pesan online",Rp 75–100 rb
Mie Kopyok Pak Dhuwur,4.4,3928.0,"Mie Kopyok Pak Dhuwur Mie Kopyok Pak Dhuwur 4,4(3.928) · Rp 1–25.000 Mi ·  · Jl. Tanjung No.18A Buka · Tutup pukul 20.00   ""Makanan unik khas Semarang, kalau untuk ngemil bisa tanpa lontong/nasi""    Pesan online",Rp 1–25.000
Bosa Restaurant | by AtoZ,4.6,389.0,"Bosa Restaurant | by AtoZ Bosa Restaurant | by AtoZ 4,6(389) · Rp 75–225 rb Restoran · Onenest Building, Jl. Teuku Umar No.10 Level 3 Buka · Tutup pukul 23.00   ""Cocok buat kalian yang cari italian restaurant yg classy + view cantik.""",Rp 75–225 rb
Depok 38,4.5,412.0,"Depok 38 Depok 38 4,5(412) · Rp 1–25.000 Sup ·  · 2CF9+3CF, Jl. Depok No.36D Buka · Tutup pukul 16.00   ""Authentic beef stewed with pindang fish soup & melinjo leaves.""    Pesan online",Rp 1–25.000
Shigeru Paragon Mall Semarang,4.2,107.0,"Shigeru Paragon Mall Semarang Shigeru Paragon Mall Semarang 4,2(107) · Rp 25–50 rb Jepang · Paragon Mall, Shigeru, Jl. Pemuda Pollux No.118 Buka · Tutup pukul 22.00   ""Yg yakitori alias sate ayam juga dagingnya kayak gak mateng sampe dalem.""",Rp 25–50 rb
Mbah Jingkrak Restaurant,4.2,1518.0,"Mbah Jingkrak Restaurant Mbah Jingkrak Restaurant 4,2(1.518) · Rp 25–50 rb Prasmanan · Jl. Taman Beringin No.3 Tempat ceria untuk menu klasik Indonesia Buka · Tutup pukul 21.00   ""Menunya cukup beragam, rasa enak, suasana nyaman, harga worthed.""",Rp 25–50 rb
Tom Sushi Mall Paragon Semarang,4.2,488.0,"Tom Sushi Mall Paragon Semarang Tom Sushi Mall Paragon Semarang 4,2(488) · Rp 25–125 rb Jepang · Paragon Mall Buka · Tutup pukul 21.30   ""Suka banget sama menu beef, enak banget 🤧🤧🤧 Matcha chouxnya juga enak.""    Pesan online",Rp 25–125 rb
Krabe,4.3,505.0,"Krabe Krabe 4,3(505) · Rp 50–175 rb Hidangan Laut ·  · Jl. Gajahmada Buka · Tutup pukul 21.30   ""udang saos inggris enak, soka telor asin enak, gurame goreng kering enak.""    Pesan online",Rp 50–175 rb
The Heights Sky Lounge,4.9,30.0,"The Heights Sky Lounge The Heights Sky Lounge 4,9(30) · Rp 75–100 rb Restoran · Jl. Wilis No.2a Buka · Tutup pukul 00.00   ""Senag sekali makanan enak, ambient ok dengan pemandagan semarang bawah""",Rp 75–100 rb
Gigglebox Cafe & Resto,4.5,1388.0,"Gigglebox Cafe & Resto Gigglebox Cafe & Resto 4,5(1.388) · Rp 25–75 rb Kafe · Jl. Muria No.2 Buka · Tutup pukul 21.00   ""Good food dan good service, keren tempatnya""",Rp 25–75 rb
Susan Resto,4.5,700.0,"Susan Resto Susan Resto 4,5(700) · Rp 50–75 rb Restoran · House of Susan, Jl. Kh Ahmad Dahlan No.49 Buka · Tutup pukul 21.00   ""Terutama bakso, bubur manisnya dan menu buffet nya.""",Rp 50–75 rb
Rumah Makan Ayam Taliwang,4.5,288.0,"Rumah Makan Ayam Taliwang Rumah Makan Ayam Taliwang 4,5(288) · Rp 25–50 rb Ayam ·  · Jl. Kapten Piere Tendean No.3 Buka · Tutup pukul 17.00   ""Ayam bakar taliwangnya enak, gurih, meresap sampai dagingnya.""    Pesan online",Rp 25–50 rb
Wee Nam Kee Chicken Rice Semarang,4.6,1064.0,"Wee Nam Kee Chicken Rice Semarang Wee Nam Kee Chicken Rice Semarang 4,6(1.064) · Rp 50–150 rb China ·  · Jl. Jangli Raya No.16 Buka · Tutup pukul 21.00   ""Tempat luas & bersih, makanan enak, parkir luas.""    Pesan online",Rp 50–150 rb
Saladine Gerai ke-2 : Balaikota Semarang bersama Warga Lokal Pemuda,4.6,10.0,"Saladine Gerai ke-2 : Balaikota Semarang bersama Warga Lokal Pemuda Saladine Gerai ke-2 : Balaikota Semarang bersama Warga Lokal Pemuda 4,6(10) · Rp 25–50 rb Makanan Sehat · Halaman depan Gedung Balaikota Semarang, di sisi paling dekat dengan DP MALL, Jl. Sekayu Raya No.148 Buka · Tutup pukul 16.00   ""Makanannya enak banget 🥹🫶 harganya jg bersaing!""    Pesan online",Rp 25–50 rb
Marugame Udon DP Mall Semarang,4.6,365.0,"Marugame Udon DP Mall Semarang Marugame Udon DP Mall Semarang 4,6(365) · Rp 75–100 rb Jepang ·  · DP Mall, Jl. Pemuda No.150 Lt 2, Unit 2. 23&25 Buka · Tutup pukul 22.00   ""makanannya enak, tempatnya bersih dan strategis, untuk pelayanannya ramah""    Pesan online",Rp 75–100 rb
Soto Bangkong Semarang,4.3,11591.0,"Soto Bangkong Semarang Soto Bangkong Semarang 4,3(11.591) · Rp 25–50 rb Soto Ayam · Ruko Bangkong Plaza, Jl. Brigjend Katamso No.1 Resto simpel yang menyajikan menu lokal Buka · Tutup pukul 22.00   ""Menu makanan khas soto juicy spicey.""",Rp 25–50 rb
Ikan Bakar Cianjur - Semarang Teuku Umar,4.5,3703.0,"Ikan Bakar Cianjur - Semarang Teuku Umar Ikan Bakar Cianjur - Semarang Teuku Umar 4,5(3.703) · Rp 50–150 rb Ikan Bakar ·  · Jl. Teuku Umar No.8 Buka · Tutup pukul 22.00   ""Parkir luas ,menu makanan nya enak enak ,terutama ayam goreng nya mantap""    Pesan online",Rp 50–150 rb
MOROTUMAN RESTO,4.7,15.0,"MOROTUMAN RESTO MOROTUMAN RESTO 4,7(15) Restoran · 2C5H+3RQ, Jl. Ki Mangunsarkoro Buka · Tutup pukul 21.30   Makan di tempat · Bawa pulang · Antar tanpa bertemu",
New Grand Pringgading,4.5,173.0,"New Grand Pringgading New Grand Pringgading 4,5(173) · Rp 50–125 rb Restoran · Jl. Pringgading No.52 Buka · Tutup pukul 14.30 · Buka kembali pukul 18.00   ""Dim sum, song mie, and nasi campurnya juara!""",Rp 50–125 rb
Warung Makan Asem-Asem Koh Liem,4.5,3710.0,"Warung Makan Asem-Asem Koh Liem Warung Makan Asem-Asem Koh Liem 4,5(3.710) · Rp 50–75 rb Restoran ·  · Jl. Karang Anyar No.28 Buka · Tutup pukul 16.00   ""Juga ada peyek udang (yg dengan 5 butir udang harganya 25k se biji 😱).""",Rp 50–75 rb
CHEON & Korean Street food - DP MALL SEMARANG (LT.2),,,"CHEON & Korean Street food - DP MALL SEMARANG (LT.2) CHEON & Korean Street food - DP MALL SEMARANG (LT.2) 4,7(352) · Rp 25–50 rb Korea · Jl. Pemuda No.150 Buka · Tutup pukul 22.00   ""Makanan nya enak recomended sekali""    Pesan online",Rp 25–50 rb
S2 Restaurant,4.6,3091.0,"S2 Restaurant S2 Restaurant 4,6(3.091) · Rp 75–200 rb Jepang ·  · Jl. Sisingamangaraja No.19C Buka · Tutup pukul 22.00   ""Masakan Padang paling enak dan tempatnya nyaman & modern""    Pesan online",Rp 75–200 rb
Selasih Resto Masakan Indonesia,4.5,2598.0,"Selasih Resto Masakan Indonesia Selasih Resto Masakan Indonesia 4,5(2.598) · Rp 50–75 rb Indonesia · Jl. Sultan Agung No.81 Restoran dengan pelayanan yang ramah Buka · Tutup pukul 21.00   ""Menu makan dan minumnya banyak bervariasi dan yang penting enak-enak.""    Pesan online",Rp 50–75 rb
Golden Lamian - DP Mall Semarang,4.4,603.0,"Golden Lamian - DP Mall Semarang Golden Lamian - DP Mall Semarang 4,4(603) · Rp 50–75 rb Mie China · DP Mall, Jl. Pemuda No.150 2nd Floor Buka · Tutup pukul 22.00   ""Menunya enak, harga cukup terjangkau, dan pelayanan juga bagus.""    Pesan online",Rp 50–75 rb
Gion The Sushi Bar - DP Mall Semarang,4.8,885.0,"Gion The Sushi Bar - DP Mall Semarang Gion The Sushi Bar - DP Mall Semarang 4,8(885) Sushi · Gedung DP Mall Lantai Dasar, Unit G-27B - G-28 SO, Jl. Pemuda No.150 Buka · Tutup pukul 21.00   ""Makanan dan minuman enak, good services, cocok buat makan dan hangout.""    Pesan online",
Sky Line - Lounge & Exclusive Dining,4.8,527.0,"Sky Line - Lounge & Exclusive Dining Sky Line - Lounge & Exclusive Dining 4,8(527) Restoran · Gumaya Tower Hotel Semarang, Jl. Gajahmada No.59-61 Restoran di menara berpanorama kota Tutup · Buka pukul 17.00   ""Untuk makanannya sudah oke, service dan ambience sudah oke.""    Reservasi tempat",
D'Kambodja Heritage Dapur Ndeso Anne Avantie,4.4,3224.0,"D'Kambodja Heritage Dapur Ndeso Anne Avantie D'Kambodja Heritage Dapur Ndeso Anne Avantie 4,4(3.224) · Rp 50–150 rb Indonesia · Jl. Diponegoro No.45 Buka · Tutup pukul 22.00   ""Area makan indoor & outdoor, area parkir luas, toilet bersih.""    Pesan online",Rp 50–150 rb
Loenpia Mbak Lien,4.5,9734.0,"Loenpia Mbak Lien Loenpia Mbak Lien 4,5(9.734) · Rp 25–50 rb Restoran · Jl. Pemuda Gg. Grajen No.1 Buka · Tutup pukul 21.30   ""Makan di tempat enak bawa pulang juga enak dan khas semarang mak nyus""    Pesan online",Rp 25–50 rb
SUSHI GO! DP Mall Semarang,4.9,3540.0,"SUSHI GO! DP Mall Semarang SUSHI GO! DP Mall Semarang 4,9(3.540) · Rp 25–150 rb Jepang · 2C86+JWF Buka · Tutup pukul 21.30   ""Food place ambiencenya good 👍🏻👍🏻👍🏻👍🏻 Servicenya jg top mba mia ⭐️⭐️⭐️⭐️⭐️""    Pesan online",Rp 25–150 rb
Rumah Makan Indah Sari Semarang,4.4,2782.0,"Rumah Makan Indah Sari Semarang Rumah Makan Indah Sari Semarang 4,4(2.782) · Rp 25–50 rb Masakan Asia · Jl. MT. Haryono No.409-411 Buka · Tutup pukul 21.00   ""Menu masakan bervariasi, masakannya enak, tempatnya nyaman""    Pesan online",Rp 25–50 rb
Ta Wan- Paragon Semarang Lifestyle Mall,4.3,803.0,"Ta Wan- Paragon Semarang Lifestyle Mall Ta Wan- Paragon Semarang Lifestyle Mall 4,3(803) · Rp 25–150 rb Restoran · Jl. Pemuda No.118 Buka · Tutup pukul 22.00   ""makanan dan minumannya enak, pelayanannya baik, tempatnya juga bersih""    Pesan online",Rp 25–150 rb
Bellywise,4.6,1518.0,"Bellywise Bellywise 4,6(1.518) · Rp 50–150 rb BBQ ·  · Jl. Wonodri Krajan 3 No.45 Tempat makan standar dengan menu global Buka · Tutup pukul 22.00   ""di sini ada wagyu steak, smoked beef, burger, pasta, salad, rice dsb.""    Pesan online",Rp 50–150 rb
Antarakata Tugu Muda,4.7,1817.0,"Antarakata Tugu Muda Antarakata Tugu Muda 4,7(1.817) · Rp 50–75 rb Restoran · 2C85+48Q, Jl. HOS Cokroaminoto Buka · Tutup pukul 23.00   ""Great foods, drinks, ambience + Mas Satria pelayanannya mantep banget🔥""    Pesan online",Rp 50–75 rb
Kimukatsu DP Mall Semarang,4.9,6469.0,"Kimukatsu DP Mall Semarang Kimukatsu DP Mall Semarang 4,9(6.469) · Rp 50–100 rb Jepang · DP Mall Semarang, Jl. Pemuda No.150 level GF 26 Buka · Tutup pukul 22.00   ""Ambiencenya bagus, makanannya enak, bersih, servicenya bagus""    Reservasi tempat  Pesan online",Rp 50–100 rb
Bakmi Jawa Pak Gareng,4.3,3383.0,"Bakmi Jawa Pak Gareng Bakmi Jawa Pak Gareng 4,3(3.383) · Rp 25–50 rb Mi ·  · Jl. Wotgandul Dalam No.171 Buka · Tutup pukul 23.00   ""Makan mie dan nasi goreng dengan citra rasa tempo dulu.. Sedep maknyus...""    Pesan online",Rp 25–50 rb
AYAM BAKAR SEMARANG,4.6,283.0,"AYAM BAKAR SEMARANG AYAM BAKAR SEMARANG 4,6(283) · Rp 25–50 rb Ayam ·  · Jl. MH Thamrin No.84 Buka · Tutup pukul 21.30   ""Ada sate jantung ayam nya enak sambel ijonya enak.""    Pesan online",Rp 25–50 rb
Five Monkeys Burger - DP Mall Semarang,4.9,1078.0,"Five Monkeys Burger - DP Mall Semarang Five Monkeys Burger - DP Mall Semarang 4,9(1.078) · Rp 50–75 rb Hamburger ·  · DP Mall Semarang, Jl. Pemuda No.150 Buka · Tutup pukul 21.30   ""Burger yummy, vibenya enak buat nongki,layanan nya good""    Pesan online",Rp 50–75 rb
Daeng Baba Resto,4.5,1070.0,"Daeng Baba Resto Daeng Baba Resto 4,5(1.070) · Rp 25–50 rb Sulawesi Selatan ·  · Jl. Veteran No.41 Buka · Tutup pukul 21.00   ""Makanan nya enak, tempat bersih dan wangi, dengan staff yg friendly""",Rp 25–50 rb
"Haraku Ramen Halal, DP Mall Semarang",4.8,538.0,"Haraku Ramen Halal, DP Mall Semarang Haraku Ramen Halal, DP Mall Semarang 4,8(538) · Rp 25–50 rb Ramen · Jl. Pemuda No.150 Lantai 2 Buka · Tutup pukul 22.00   ""Foto-foto menu cukup menarik dengan menu yg beragam juga.""    Pesan online",Rp 25–50 rb
Noblecourt Gumaya,4.7,40.0,"Noblecourt Gumaya Noblecourt Gumaya 4,7(40) China · Jl. Gajahmada No.59-61   ""makananya enak dan pelayanannya ramah saya sangat puas makan disini""",
HWA RO Korean BBQ Semarang,4.5,385.0,"HWA RO Korean BBQ Semarang HWA RO Korean BBQ Semarang 4,5(385) BBQ Korea · Jl. Gajahmada No.150 Buka · Tutup pukul 23.00   ""Makanan enak tapi service jelek sekali.""    Pesan online",
